date,source,p_synthetic_raw,imoex,fair_value_A,fair_ext,dev_ext
2023-07-13,polymarket,0.125,2885.63,3159.367686416269,3210.6766928029374,-0.10123930993474461
2023-07-14,polymarket,0.105,2902.72,3152.5770340720283,3207.157590520511,-0.0949244251109912
2023-07-17,polymarket,0.105,2917.61,3135.347561425759,3196.5410259987757,-0.0872602678113985
2023-07-18,polymarket,0.095,2954.52,3130.3539949699875,3193.7701286029483,-0.07491150551514603
2023-07-19,polymarket,0.095,2943.43,3123.3277944105907,3189.673543280778,-0.07720023379806495
2023-07-20,polymarket,0.09,2917.48,3128.331705436583,3193.0118601585787,-0.08629215055433415
2023-07-21,polymarket,0.09,2923.54,3120.227886036311,3188.025744817547,-0.08296223618880583
2023-07-24,polymarket,0.09,2937.47,3125.1392021623874,3191.2075950010117,-0.07951146625449523
2023-07-25,polymarket,0.09,2975.36,3130.2248561319784,3194.2535164220135,-0.06852728354110194
2023-07-26,polymarket,0.085,2970.42,3131.082672215004,3194.7416207069637,-0.07021588827497216
2023-07-27,polymarket,0.07,2987.85,3136.9741781286784,3198.4863161915296,-0.06585499994958133
2023-07-28,polymarket,0.095,3008.61,3132.1548143882583,3194.5491407879003,-0.05820512773268538
2023-07-31,polymarket,0.065,3073.5,3128.6819571086558,3192.692166846313,-0.037332808995503286
2023-08-01,polymarket,0.075,3093.64,3130.516881898871,3193.041214103857,-0.031130576600388316
2023-08-02,polymarket,0.075,3106.46,3133.276099839648,3193.6008403599894,-0.02728607760203583
2023-08-03,polymarket,0.075,3147.8,3136.184873096035,3193.8017394997996,-0.014403442433782443
2023-08-04,polymarket,0.075,3092.44,3138.641885473514,3193.8065495628416,-0.03173847507348759
2023-08-07,polymarket,0.09,3084.08,3147.771961837392,3197.8148496385447,-0.03556642738443738
2023-08-08,polymarket,0.08,3085.31,3148.782547124992,3197.215654127734,-0.03500097154324244
2023-08-09,polymarket,0.07,3099.52,3140.348466847687,3190.6489606979526,-0.028561261931496884
2023-08-10,polymarket,0.075,3148.86,3141.811749699509,3189.6859164671214,-0.01279935314519609
2023-08-11,polymarket,0.075,3155.51,3150.140307995875,3193.057749233993,-0.01175918263395026
2023-08-14,polymarket,0.08,3131.0,3135.367315277329,3182.371318640721,-0.016142465318177535
2023-08-15,polymarket,0.075,3115.25,3132.935997646297,3179.548391154741,-0.02022249176443236
2023-08-16,polymarket,0.075,3049.46,3144.018257343935,3185.1553868846986,-0.04260243862621027
2023-08-17,polymarket,0.075,3059.02,3167.305242645304,3198.097622450581,-0.043487610094907425
2023-08-18,polymarket,0.105,3111.22,3172.824383982239,3199.756973393765,-0.027669905599068012
2023-08-21,polymarket,0.12,3139.93,3177.8241732157176,3201.3310450049025,-0.01917984867597744
2023-08-22,polymarket,0.1,3164.25,3184.3251417670986,3204.5757521763103,-0.012583803690371154
2023-08-23,polymarket,0.085,3146.2,3189.0669835202884,3206.7385915561886,-0.018878555213572956
2023-08-24,polymarket,0.095,3137.37,3183.5718299068494,3202.0417882170095,-0.0201970469139382
2023-08-25,polymarket,0.09,3157.33,3190.323637862735,3205.037167360678,-0.014885059008524548
2023-08-28,polymarket,0.08,3198.72,3187.6814527064053,3202.6631430730044,-0.001231207559725167
2023-08-29,polymarket,0.09,3211.36,3198.3808177854467,3207.6187742526927,0.001166356107321187
2023-08-30,polymarket,0.08,3212.68,3203.688176156468,3209.685368764124,0.0009329983757968563
2023-08-31,polymarket,0.08,3227.99,3211.4095509962244,3212.963614700034,0.00467679908705354
2023-09-01,polymarket,0.08,3231.35,3206.79584573238,3208.6707809630584,0.007068104079576143
2023-09-04,polymarket,0.09,3268.97,3215.616787751568,3212.175560484194,0.017680988615468074
2023-09-05,polymarket,0.095,3264.43,3217.793942478274,3211.7056783834532,0.016416299280288982
2023-09-06,polymarket,0.095,3245.47,3195.2406144229794,3196.4288659857143,0.015342476266607674
2023-09-07,polymarket,0.12,3169.07,3187.7068725391896,3189.6924384665863,-0.0064653376036781784
2023-09-08,polymarket,0.1,3142.88,3156.8137523982177,3170.0873031985293,-0.008582509122407433
2023-09-11,polymarket,0.1,3122.37,3175.6418097044607,3179.9832878586053,-0.018117481333495333
2023-09-12,polymarket,0.1,3165.92,3204.7038904773863,3196.0936291985527,-0.009440783875320546
2023-09-13,polymarket,0.1,3148.32,3215.156217452774,3200.9333341017787,-0.016436872814954318
2023-09-14,polymarket,0.09,3139.49,3215.927323569122,3200.011778765441,-0.018912986248066366
2023-09-15,polymarket,0.09,3152.53,3223.105760614479,3202.6153796061435,-0.0156388993586557
2023-09-18,polymarket,0.085,3135.18,3244.859495510261,3214.2184831911873,-0.02459026466449643
2023-09-19,polymarket,0.085,3083.85,3245.203173805432,3212.6630469467914,-0.04009541152135798
2023-09-20,polymarket,0.07,3068.15,3246.4600531161204,3212.2688494113117,-0.04486512685192068
2023-09-21,polymarket,0.07,3019.22,3260.243662988182,3218.8966359827364,-0.062032633713873464
2023-09-22,polymarket,0.065,3049.07,3263.416080058761,3219.277924804992,-0.052871460240669355
2023-09-25,polymarket,0.07,3045.39,3265.311170646892,3218.888396473995,-0.053900096898061745
2023-09-26,polymarket,0.1,3051.91,3275.1414982281367,3222.499705995654,-0.05293707418444815
2023-09-27,polymarket,0.09,3067.61,3280.4073404420687,3224.2922931555586,-0.048594320523657086
2023-09-28,polymarket,0.07,3108.07,3272.977616079478,3218.8970620261184,-0.03443013550621554
2023-09-29,polymarket,0.07,3133.26,3281.955089775136,3222.8513507715893,-0.0277987846849157
2023-10-02,polymarket,0.065,3132.33,3275.635708983037,3217.782059923987,-0.026556198752007987
2023-10-03,polymarket,0.065,3143.88,3277.0646250002733,3217.3134343892916,-0.022824457699512468
2023-10-04,polymarket,0.065,3134.25,3265.82527612442,3209.657002731718,-0.023493788485043576
2023-10-05,polymarket,0.07,3131.76,3277.06574005953,3215.2822567175303,-0.02597664840871472
2023-10-06,polymarket,0.07,3144.89,3280.8856969499407,3216.658415448981,-0.022311481724105797
2023-10-09,polymarket,0.1,3174.02,3288.3510413004938,3219.266124498224,-0.014054794710479657
2023-10-10,polymarket,0.09,3177.03,3285.298648664429,3216.744948041146,-0.0123463155092014
2023-10-11,polymarket,0.08,3194.12,3308.586495616291,3229.832738156523,-0.011057147862370997
2023-10-12,polymarket,0.08,3174.66,3321.975096433581,3237.0806416357923,-0.019283004826302186
2023-10-13,polymarket,0.075,3192.33,3331.613739835187,3241.8219011927254,-0.015266693452381297
2023-10-16,polymarket,0.065,3234.78,3333.358506421532,3242.1359373626397,-0.0022688553178381587
2023-10-17,polymarket,0.065,3247.15,3322.044772166984,3234.4694386757415,0.003920445552099583
2023-10-18,polymarket,0.065,3249.21,3319.661435885748,3231.7752709827428,0.005394783843356565
2023-10-19,polymarket,0.065,3255.16,3321.843165507579,3232.0346467234367,0.007155044980723613
2023-10-20,polymarket,0.07,3269.27,3323.827335517341,3232.0936925092574,0.01150223694842234
2023-10-23,polymarket,0.06,3263.68,3345.761243618561,3244.145883017363,0.00602134357918227
2023-10-24,polymarket,0.06,3265.01,3345.2924069136075,3243.0952582294076,0.006757353708616298
2023-10-25,polymarket,0.065,3265.28,3350.368558849644,3245.277022183874,0.006163719669966872
2023-10-26,polymarket,0.045,3223.89,3352.448736819201,3246.1772857901497,-0.006865701971272564
2023-10-27,polymarket,0.055,3224.18,3349.5074013068534,3243.6591634017336,-0.0060053052495520065
2023-10-30,polymarket,0.055,3227.07,3346.0176546472826,3241.153919161076,-0.004345341045920215
2023-10-31,polymarket,0.045,3200.97,3347.42741417625,3241.970239782927,-0.012646704550154153
2023-11-01,polymarket,0.035,3206.52,3379.7560245253558,3261.050664959563,-0.01672180857093164
2023-11-02,polymarket,0.035,3197.22,3395.662480751483,3270.143975623194,-0.022299928127567203
2023-11-03,polymarket,0.0355,3208.63,3421.236809909081,3284.8948009325472,-0.023216816840191168
2023-11-06,polymarket,0.1125,3235.11,3417.585165084843,3281.123536996572,-0.014023713669339966
2023-11-07,polymarket,0.065,3246.34,3418.299675462557,3282.9896240105068,-0.011163490661824094
2023-11-08,polymarket,0.065,3245.43,3415.955814801428,3282.034823254437,-0.011153088015726786
2023-11-09,polymarket,0.0635,3239.92,3454.2977800333915,3304.6275768266337,-0.019580898398472768
2023-11-10,polymarket,0.109,3242.06,3452.732782747342,3302.892390248204,-0.018417914682237746
2023-11-13,polymarket,0.0465,3248.27,3430.115835592848,3291.5054506354486,-0.013135463782112722
2023-11-14,polymarket,0.047,3212.39,3418.285847503361,3284.7194058850637,-0.022019964857721175
2023-11-15,polymarket,0.0465,3215.11,3420.316694914949,3286.2106356179866,-0.02163605547598002
2023-11-16,polymarket,0.0465,3189.08,3424.6120558875136,3289.0472757632583,-0.030393991749498306
2023-11-17,polymarket,0.0465,3206.34,3423.164968925646,3288.675269789071,-0.025035998703013207
2023-11-20,polymarket,0.048,3207.36,3430.206789809436,3293.0300977223696,-0.026015582967681805
2023-11-21,polymarket,0.065,3218.48,3429.137728440209,3292.40283132383,-0.022452547610678164
2023-11-22,polymarket,0.056,3230.65,3440.2347511124444,3299.3148355444328,-0.020811846994620575
2023-11-23,polymarket,0.0625,3221.05,3434.04229269352,3295.7664522743917,-0.022670432919429162
2023-11-24,polymarket,0.0755,3217.76,3428.396749242157,3292.5011344930535,-0.022700412677173265
2023-11-27,polymarket,0.0815,3191.05,3429.376245212095,3293.4086035303553,-0.031079837290955092
2023-11-28,polymarket,0.08,3196.36,3431.3372751050147,3295.114645840511,-0.029970018179844127
2023-11-29,polymarket,0.0795,3173.52,3425.31519464762,3292.23767727689,-0.03605987444232306
2023-11-30,polymarket,0.0725,3165.79,3414.758849370026,3287.0127802970865,-0.03687931517142751
2023-12-01,polymarket,0.0715,3142.29,3403.6138980411456,3281.18115871812,-0.04232962216946945
2023-12-04,polymarket,0.052,3114.41,3378.538572610591,3267.70003886851,-0.046910682451008934
2023-12-05,polymarket,0.0495,3129.33,3364.76582355463,3260.3790653224078,-0.04019442607648105
2023-12-06,polymarket,0.043,3079.5,3355.8088148453376,3255.9893984339838,-0.05420453718887075
2023-12-07,polymarket,0.045,3073.63,3342.662519707324,3249.0224916265674,-0.053983157112205804
2023-12-08,polymarket,0.0445,3079.99,3328.4941278814813,3241.2578092627423,-0.049754699796442425
2023-12-11,polymarket,0.0365,3026.17,3319.391077838587,3237.0431332246008,-0.06514375142556039
2023-12-12,polymarket,0.041,3019.89,3298.271609539406,3225.6265063730143,-0.06378187492151732
2023-12-13,polymarket,0.2,3032.22,3278.457033644143,3211.315798341301,-0.05577022304496104
2023-12-14,polymarket,0.22,3008.84,3264.0221544859805,3203.359996897919,-0.060723739163343726
2023-12-15,polymarket,0.23,3033.89,3271.169884294767,3208.6430553385067,-0.054463227079046495
2023-12-18,polymarket,0.225,3076.26,3311.951548995603,3233.7790073230876,-0.04871050463447757
2023-12-19,polymarket,0.23,3083.64,3317.273441492306,3237.7892830327337,-0.047609424072324824
2023-12-20,polymarket,0.235,3104.66,3321.1112990865163,3240.972588234577,-0.042059161107817156
2023-12-21,polymarket,0.245,3073.57,3320.666832194828,3241.40860262435,-0.051779526496123385
2023-12-22,polymarket,0.245,3092.58,3301.4316306173355,3231.082078389578,-0.04286554009751731
2023-12-25,polymarket,0.445,3099.02,3297.4173592864813,3225.11771286578,-0.03909863890013865
2023-12-26,polymarket,0.42,3094.72,3277.3345874398565,3214.810279800141,-0.037355324062111395
2023-12-27,polymarket,0.36,3097.49,3267.5638951034043,3211.5157028921476,-0.03550526089268735
2023-12-28,polymarket,0.315,3101.99,3273.052194736352,3217.199895446494,-0.03581061146046849
2023-12-29,polymarket,0.31,3099.11,3284.161838514792,3225.1412160883615,-0.03907773571577722
2024-01-03,polymarket,0.245,3130.23,3271.0169326887194,3219.702408308794,-0.027789030463778452
2024-01-04,polymarket,0.245,3136.07,3274.8527371155888,3222.79426730449,-0.0269096504807379
2024-01-05,polymarket,0.245,3136.37,3268.170622547016,3219.57821942478,-0.02584444723931767
2024-01-08,polymarket,0.27,3158.58,3259.518599262121,3214.9473567365253,-0.017532901936454626
2024-01-09,polymarket,0.26,3155.55,3228.9831001395696,3198.14308754313,-0.013318068134296923
2024-01-10,polymarket,0.175,3164.7,3246.311763293411,3211.4370377761215,-0.014553309694804617
2024-01-11,polymarket,0.245,3181.25,3231.6784591723963,3201.9541680880684,-0.006466103823225877
2024-01-12,polymarket,0.27,3185.22,3209.871239669625,3189.446745678545,-0.001325228484931551
2024-01-15,polymarket,0.235,3184.88,3215.559122986868,3194.9829452175454,-0.003162128058513791
2024-01-16,polymarket,0.225,3179.45,3219.127771713398,3198.622959161272,-0.005994129163100714
2024-01-17,polymarket,0.215,3185.23,3222.306850478008,3202.3130159289854,-0.005334586545415965
2024-01-18,polymarket,0.215,3178.85,3200.3954981555767,3190.528147964138,-0.0036602554256072173
2024-01-19,polymarket,0.215,3166.37,3204.580968978552,3194.4083536494463,-0.008777322917219998
2024-01-22,polymarket,0.215,3172.15,3193.154466047344,3188.9405357557644,-0.005265239526263232
2024-01-23,polymarket,0.215,3175.74,3188.326740669781,3187.105783182347,-0.0035661769503609886
2024-01-24,polymarket,0.17,3162.41,3191.583152352043,3191.2237636767854,-0.00902906402388648
2024-01-25,polymarket,0.165,3157.74,3187.8663931822844,3190.1858274554907,-0.010170513321278829
2024-01-26,polymarket,0.165,3163.21,3179.2913952626413,3185.9119617669526,-0.007125734182046206
2024-01-29,polymarket,0.155,3176.61,3156.6899725760027,3173.1615367926165,0.0010867594250714152
2024-01-30,polymarket,0.155,3196.08,3155.9856461045147,3173.4906998205633,0.007118123957544187
2024-01-31,polymarket,0.155,3214.19,3158.009293521558,3175.1931187927066,0.012281735235720515
2024-02-01,polymarket,0.165,3229.89,3134.769463493562,3161.2668530542105,0.021707483150146034
2024-02-02,polymarket,0.165,3226.35,3132.6606428621963,3160.573802787389,0.0208114732693796
2024-02-05,polymarket,0.165,3226.79,3129.6482762790715,3159.2846139898033,0.021367301227395608
2024-02-06,polymarket,0.125,3238.4,3131.5553980852496,3161.8623778644155,0.02420650015364667
2024-02-07,polymarket,0.125,3256.58,3131.0726267777445,3162.073779133974,0.02988741802599848
2024-02-08,polymarket,0.125,3241.81,3122.459133937633,3157.129248146345,0.026822073218375042
2024-02-09,polymarket,0.125,3242.38,3123.3129010978623,3157.912864593109,0.026747772667810477
2024-02-12,polymarket,0.135,3248.5,3126.047708337824,3159.480580493155,0.028175333647073808
2024-02-13,polymarket,0.125,3254.6,3121.624763714028,3157.188935788621,0.03085373292271676
2024-02-14,polymarket,0.125,3258.14,3122.3860994919787,3157.5154495038223,0.031868268613535866
2024-02-15,polymarket,0.125,3265.63,3111.707218386781,3150.8474027035822,0.03642911973392571
2024-02-16,polymarket,0.135,3242.48,3099.8902400618226,3143.0425783583173,0.03163731294204131
2024-02-19,polymarket,0.145,3244.56,3096.7969432735904,3140.651472892406,0.03308502328400631
2024-02-20,polymarket,0.145,3207.49,3102.6036192164333,3143.9788233213612,0.020200892005864057
2024-02-21,polymarket,0.145,3139.5,3099.150245470135,3141.8710758225457,-0.000754669992919732
2024-02-22,polymarket,0.145,3142.3,3094.2169259363527,3138.7113832502364,0.001143340789125924
2024-02-26,polymarket,0.125,3213.17,3086.7927865248616,3134.5235101581397,0.025090413132008216
2024-02-27,polymarket,0.125,3208.99,3087.6357749985737,3134.8864940510616,0.023638337812090127
2024-02-28,polymarket,0.125,3227.05,3087.7166348256283,3134.921308626431,0.029387880046640058
2024-02-29,polymarket,0.125,3256.8,3077.6525017754884,3128.7217371820607,0.040936290784777674
2024-03-01,polymarket,0.125,3266.66,3095.228958753392,3139.3986868901206,0.040536843453911287
2024-03-04,polymarket,0.115,3296.75,3063.471533077358,3120.351926037818,0.056531467649602485
2024-03-05,polymarket,0.115,3300.89,3059.184450422352,3117.8808912198065,0.05869663247738588
2024-03-06,polymarket,0.115,3310.58,3046.855122318911,3110.4885881910163,0.0643279684640643
2024-03-07,polymarket,0.12,3315.68,3050.339628262574,3112.500056154149,0.06527869564021871
2024-03-11,polymarket,0.125,3320.31,3048.613321011241,3111.4333288444277,0.06713197715637631
2024-03-12,polymarket,0.125,3332.6,3041.230156349176,3107.0027750197796,0.07260927695141306
2024-03-13,polymarket,0.125,3320.68,3032.193956787099,3101.238569189547,0.07075928727011793
2024-03-14,polymarket,0.125,3297.0,3029.2854750175848,3099.1569773431747,0.06383769008900964
2024-03-15,polymarket,0.125,3300.07,3023.46783055204,3095.1987019116664,0.06619003101862275
2024-03-18,polymarket,0.125,3296.3,3024.2129888944573,3095.3175073294733,0.06493113943710638
2024-03-19,polymarket,0.125,3264.97,3028.647124779542,3097.6508839543485,0.05401483973302312
2024-03-20,polymarket,0.125,3267.1,3025.7468942613573,3095.5738040277047,0.055410145850542936
2024-03-21,polymarket,0.125,3286.69,3023.282230762886,3093.89048970458,0.06231620380132763
2024-03-22,polymarket,0.125,3273.49,3035.7546722060483,3101.346675276361,0.05550599231487041
2024-03-25,polymarket,0.125,3281.63,3029.3961446024528,3097.1564991838522,0.059562214846023975
2024-03-26,polymarket,0.125,3285.54,3012.369557548894,3086.49562364406,0.06448879267191021
2024-03-27,polymarket,0.125,3304.09,3033.769185783793,3099.666441062346,0.06595017974501549
2024-03-28,polymarket,0.125,3312.77,3034.2857103520123,3099.685274225249,0.0687439875095095
2024-03-29,polymarket,0.125,3332.53,3032.620700454599,3098.34922194182,0.07558243480101079
2024-04-01,polymarket,0.115,3363.29,3029.9253155082665,3096.3840122174347,0.08619925265387995
2024-04-02,polymarket,0.105,3371.29,3026.7570224772776,3094.21400487529,0.08954648731087933
2024-04-03,polymarket,0.105,3395.59,3025.9333643544733,3093.2432760842203,0.09774424347849053
2024-04-04,polymarket,0.105,3407.57,3026.155332936326,3092.930466656021,0.10172861521977805
2024-04-05,polymarket,0.105,3395.37,3017.972560535532,3087.3390782135502,0.09977230034761453
2024-04-08,polymarket,0.0455,3417.38,3018.48790184116,3088.2949706208783,0.1065588075328705
2024-04-09,polymarket,0.0455,3414.26,3022.4375612858325,3089.803683865675,0.10500871554674163
2024-04-10,polymarket,0.046,3439.11,3020.9827454808865,3088.3446952331424,0.11357712282190002
2024-04-11,polymarket,0.0485,3439.53,3017.791105652945,3085.4757383278516,0.11474867790210697
2024-04-12,polymarket,0.0385,3456.24,3017.3652620960384,3084.7009954335317,0.12044571098348911
2024-04-15,polymarket,0.042,3472.19,3029.457516269221,3091.288599130044,0.12321767724215404
2024-04-16,polymarket,0.042,3462.94,3020.071809183344,3084.7750288442985,0.12259077813443664
2024-04-17,polymarket,0.042,3454.07,3027.0570745247896,3088.207062068687,0.11847098674990852
2024-04-18,polymarket,0.041,3455.82,3038.0515265240874,3094.4131894682755,0.1167933266836374
